epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,529.515,1.61667,2.06077,1.49806,0.56486,0.35621,0.39246,0.19985,1.90229,2.2844,1.72579,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,546.945,1.63561,2.07885,1.50711,0.51615,0.41097,0.40951,0.21154,1.87119,2.21561,1.71439,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,564.416,1.60122,2.07798,1.49417,0.47734,0.43928,0.42024,0.21815,1.90607,2.24101,1.71617,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,582.008,1.60841,2.00639,1.48636,0.47839,0.48769,0.43409,0.22558,1.89898,2.16712,1.65253,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,599.366,1.58584,2.01165,1.48299,0.53018,0.42322,0.41601,0.21401,1.90683,2.21108,1.74496,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,616.666,1.59746,2.00933,1.48036,0.519,0.42604,0.43152,0.22537,1.88905,2.19656,1.75106,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,634.186,1.57902,1.92626,1.46195,0.5259,0.44294,0.43924,0.22546,1.9419,2.18323,1.80547,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,651.981,1.60589,1.998,1.4774,0.54752,0.42824,0.44851,0.24628,1.84611,2.13966,1.65348,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,669.389,1.55271,1.9338,1.45108,0.5656,0.43988,0.45396,0.24832,1.83365,2.11722,1.68954,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,686.934,1.55749,1.9045,1.44698,0.52719,0.47476,0.43874,0.25055,1.84193,2.09691,1.68916,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,704.497,1.55854,1.88309,1.45766,0.48416,0.50967,0.45624,0.24886,1.836,2.15767,1.65704,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,722.24,1.57769,1.87058,1.4503,0.49762,0.42372,0.42998,0.23521,1.86463,2.17943,1.67219,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,739.579,1.57673,1.88286,1.47998,0.41138,0.49246,0.43704,0.23446,1.87104,2.14458,1.67885,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,757.128,1.54994,1.93906,1.44294,0.46248,0.45228,0.43608,0.22708,1.84191,2.19547,1.64611,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,774.554,1.54798,1.8798,1.4572,0.443,0.47478,0.43611,0.2408,1.81802,2.21409,1.64715,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,791.778,1.55718,1.86455,1.45014,0.55133,0.46882,0.45697,0.25302,1.83492,2.07839,1.68689,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,808.957,1.54441,1.83489,1.42484,0.51873,0.46452,0.44211,0.23533,1.83938,2.05026,1.68433,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,826.408,1.49463,1.78566,1.41551,0.54237,0.49407,0.46219,0.23731,1.83994,2.02045,1.68253,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,843.514,1.51326,1.83083,1.41715,0.52999,0.49777,0.46725,0.23378,1.87118,2.07197,1.66437,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,860.543,1.50299,1.77792,1.4011,0.53994,0.4816,0.46781,0.2471,1.82616,2.07009,1.65199,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,878.054,1.50531,1.79712,1.41893,0.58329,0.48063,0.48984,0.26525,1.85099,2.06833,1.63731,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,895.879,1.50619,1.79457,1.39296,0.58557,0.4657,0.49597,0.2627,1.84406,2.13167,1.66836,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,913.018,1.46535,1.75064,1.39094,0.54279,0.484,0.48855,0.24699,1.88322,2.05989,1.69367,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,930.587,1.48803,1.72848,1.40104,0.55013,0.48955,0.49117,0.26301,1.91085,2.11312,1.6868,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,948.039,1.52035,1.76909,1.41318,0.5866,0.49463,0.50961,0.27836,1.8922,2.09428,1.71396,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,965.162,1.46382,1.66688,1.38904,0.56332,0.5095,0.48619,0.268,1.8618,2.06269,1.7203,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,982.303,1.45308,1.72574,1.38781,0.56115,0.48548,0.48378,0.26733,1.8032,2.06522,1.62747,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
